Date,SPY,XLK,XLF,XLE,XLV
2024-06-12,528.4979858398438,111.10698699951172,39.573123931884766,41.98736190795898,141.2115936279297
2024-06-13,529.5621337890625,111.98582458496094,39.54402923583984,41.60276412963867,141.09555053710938
2024-06-14,529.88427734375,112.40547943115234,39.41797256469727,41.29320526123047,141.0472412109375
2024-06-17,534.1015014648438,114.10881042480467,39.76705551147461,41.40108108520508,140.90220642089844
2024-06-18,535.4585571289062,114.2519989013672,40.01918411254883,41.57462310791016,141.08587646484375
2024-06-20,534.0039672851562,112.96831512451172,40.23251724243164,42.339134216308594,141.54998779296875
2024-06-21,533.2880859375,112.77083587646484,40.07736206054688,42.095245361328125,141.94642639160156
2024-06-24,531.5545043945312,110.00608825683594,40.489166259765625,43.15666580200195,142.77439880371094
2024-06-25,533.6015014648438,112.02400207519533,40.18737411499024,43.255950927734375,142.32789611816406
2024-06-26,534.2674560546875,111.89541625976562,39.93424987792969,42.8304328918457,141.8231658935547
2024-06-27,535.1096801757812,111.94982147216795,39.88557815551758,42.92972946166992,141.5901641845703
2024-06-28,533.0040283203125,111.89045715332033,40.02187347412109,43.0952033996582,141.4737091064453
2024-07-01,534.1008911132812,112.7362060546875,40.10948944091797,43.11884307861328,140.67776489257812
2024-07-02,537.6952514648438,113.30003356933594,40.576778411865234,43.08574676513672,140.163330078125
2024-07-03,540.0948486328125,114.82830810546876,40.45022964477539,43.27486038208008,139.09559631347656
2024-07-05,543.2092895507812,115.1794662475586,40.44048690795898,42.5987663269043,140.1730194091797
2024-07-08,543.8359985351562,115.9658660888672,40.33339691162109,42.33873748779297,140.01771545410156
2024-07-09,544.3648681640625,115.87189483642578,40.64493560791016,41.96522521972656,140.6971893310547
2024-07-10,549.7516479492188,117.5534896850586,40.80069351196289,42.2489013671875,142.02699279785156
2024-07-11,545.0113525390625,114.61070251464844,41.12196350097656,42.6885986328125,143.0267791748047
2024-07-12,548.4490356445312,115.63448333740234,41.25825881958008,42.79734420776367,143.91978454589844
2024-07-15,549.9573364257812,115.84221649169922,41.861846923828125,43.44506454467773,143.41505432128906
2024-07-16,553.2185668945312,115.4564437866211,42.3388786315918,43.638916015625,145.46311950683594
2024-07-17,545.4618530273438,110.96558380126952,42.66013717651367,44.07388687133789,146.12315368652344
2024-07-18,541.27001953125,110.97547912597656,42.144168853759766,44.15426254272461,142.80352783203125
2024-07-19,537.6756591796875,109.23947143554688,41.715816497802734,43.6720085144043,143.53147888183594
2024-07-22,543.2191162109375,111.826171875,41.949462890625,43.39779281616211,144.3565673828125
2024-07-23,542.3670043945312,111.38104248046876,42.02734756469727,42.70751190185547,144.26922607421875
2024-07-24,530.0755004882812,106.77149200439452,41.45296478271485,42.71223068237305,145.4728240966797
2024-07-25,527.3137817382812,105.62899780273438,41.60872650146485,43.44979476928711,144.74481201171875
2024-07-26,533.2194213867188,106.96932220458984,42.260986328125,43.5869140625,145.5602264404297
2024-07-29,533.5328979492188,106.4945297241211,42.20258712768555,43.21339797973633,145.6475372314453
2024-07-30,530.8296508789062,103.81879425048828,42.68933868408203,43.88476943969727,145.77371215820312
2024-07-31,539.4581909179688,108.21568298339844,42.582252502441406,44.06916046142578,145.23988342285156
2024-08-01,531.819091796875,104.17985534667967,41.97866821289063,42.9013557434082,146.7249755859375
2024-08-02,521.9172973632812,101.25189971923828,40.94673156738281,41.79501724243164,146.4337921142578
2024-08-05,506.7171020507813,97.87879943847656,39.75901412963867,40.8730697631836,142.52203369140625
2024-08-06,511.3889465332031,99.20924377441406,40.401554107666016,41.1236572265625,143.18209838867188
2024-08-07,507.9707946777344,97.60183715820312,40.45022964477539,41.28913116455078,141.72608947753906
2024-08-08,519.7136840820312,101.24695587158205,41.10249328613281,42.177982330322266,144.86131286621094
2024-08-09,522.00537109375,101.70198059082033,41.27772903442383,42.27254104614258,145.57962036132812
2024-08-12,522.2797241210938,102.53287506103516,41.06354904174805,42.48057174682617,145.02635192871094
2024-08-13,530.8688354492188,105.6833953857422,41.40428161621094,42.06923675537109,146.78323364257812
2024-08-14,532.5437622070312,106.26206970214844,41.9105224609375,42.31509399414063,147.307373046875
2024-08-15,541.671630859375,109.31861877441406,42.2999382019043,42.82098388671875,148.22952270507812
2024-08-16,542.8861083984375,109.50160217285156,42.61145782470703,42.77370071411133,148.3848114013672
2024-08-19,548.0767822265625,111.30684661865234,42.84511184692383,43.062110900878906,149.2875518798828
